No.,Player,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary
28,Taylor Beck\beckta01,ca,LW,25,6-2,203,R/-,4,May 13 1991,0 G 0 A 0 P
89,Pavel Buchnevich\buchnpa01,ru,RW,21,6-2,193,L/-,R,April 17 1995,8 G 12 A 20 P
4,Adam Clendening\clendad01,us,D,24,6-0,196,R/-,2,October 26 1992,2 G 9 A 11 P
19,Jesper Fast\fastje01,se,RW,25,6-0,190,R/-,3,December 2 1991,6 G 15 A 21 P
5,Dan Girardi\girarda01,ca,D,32,6-1,212,R/-,10,April 29 1984,4 G 11 A 15 P
15,Tanner Glass\glassta01,ca,LW,33,6-1,213,L/-,9,November 29 1983,1 G 1 A 2 P
40,Michael Grabner\grabnmi01,at,RW,29,6-1,185,L/-,7,October 5 1987,27 G 13 A 40 P
13,Kevin Hayes\hayeske01,us,RW,24,6-5,215,L/-,2,May 8 1992,17 G 32 A 49 P
45,Magnus Hellberg\hellbma01,se,G,25,6-6,209,-/-,2,April 4 1991,1-0-0 1.52 GAA
22,Nick Holden\holdeni01,ca,D,29,6-4,214,L/-,5,May 15 1987,11 G 23 A 34 P
46,Marek Hrivik\hrivima01,cs,LW,25,6-2,197,R/-,1,August 28 1991,0 G 2 A 2 P
39,Nicklas Jensen\jenseni01,dk,RW,23,6-3,216,L/-,3,March 6 1993,0 G 0 A 0 P
86,Josh Jooris\joorijo01,ca,RW,26,6-1,197,R/-,2,July 14 1990,1 G 1 A 2 P
43,Steven Kampfer\kampfst01,us,D,28,5-11,192,R/-,4,September 24 1988,1 G 1 A 2 P
8,Kevin Klein\kleinke01,ca,D,32,6-1,206,R/-,11,December 13 1984,3 G 11 A 14 P
20,Chris Kreider\kreidch01,us,LW,25,6-3,228,L/-,4,April 30 1991,28 G 25 A 53 P
24,Oscar Lindberg\lindbos02,se,C,25,6-1,202,L/-,2,October 29 1991,8 G 12 A 20 P
30,Henrik Lundqvist\lundqhe01,se,G,34,6-1,188,-/L,11,March 2 1982,31-20-4 2.74 GAA
27,Ryan McDonagh (C)\mcdonry01,us,D,27,6-1,216,L/-,6,June 13 1989,6 G 36 A 42 P
6,Dylan McIlrath\mcilrdy01,ca,D,24,6-5,236,R/-,3,April 20 1992,0 G 0 A 0 P
10,J.T. Miller\millejt01,us,LW,23,6-1,206,L/-,4,March 14 1993,22 G 34 A 56 P
61,Rick Nash\nashri01,ca,RW,32,6-4,212,L/-,13,June 16 1984,23 G 15 A 38 P
67,Cristoval Nieves\nievecr01,us,C,23,6-3,219,L/-,R,January 23 1994,0 G 0 A 0 P
73,Brandon Pirri\pirribr01,ca,RW,25,6-0,186,L/-,6,April 10 1991,8 G 10 A 18 P
12,Matt Puempel\puempma01,ca,LW,24,6-1,205,L/-,2,January 24 1993,6 G 3 A 9 P
32,Antti Raanta\raantan01,fi,G,27,6-0,195,-/-,3,May 12 1989,16-8-2 2.26 GAA
76,Brady Skjei\skjeibr01,us,D,22,6-3,211,L/-,1,March 26 1994,5 G 34 A 39 P
42,Brendan Smith\smithbr05,ca,D,27,6-2,211,L/-,5,February 8 1989,1 G 3 A 4 P
18,Marc Staal\staalma01,ca,D,30,6-4,209,L/-,9,January 13 1987,3 G 7 A 10 P
21,Derek Stepan\stepade01,us,C,26,6-0,196,R/-,6,June 18 1990,17 G 38 A 55 P
26,Jimmy Vesey\veseyji02,us,LW,23,6-3,207,L/-,R,May 26 1993,16 G 11 A 27 P
93,Mika Zibanejad\zibanmi01,se,C,23,6-2,215,R/-,5,April 18 1993,14 G 23 A 37 P
36,Mats Zuccarello\zuccama01,no,RW,29,5-7,179,L/-,6,September 1 1987,15 G 44 A 59 P
